,基金代码,基金简称,类型,2020-10-22-单位净值,2020-10-22-累计净值,2020-10-22-单位净值,2020-10-22-累计净值,增长值,增长率,市价,折价率
256,159964,平安创业板ETF行情,ETF-场内,---,---,1.6244,1.6244,---,---,1.6120,---
257,512380,银华MSCI中国A股ETF行情,ETF-场内,---,---,1.3321,1.3321,---,---,1.3270,---
258,512690,鹏华中证酒ETF行情,ETF-场内,---,---,1.9720,1.9720,---,---,2.0040,---
259,512290,国泰中证生物医药ETF行情,ETF-场内,---,---,2.0798,2.0798,---,---,2.0260,---
260,512480,国联安中证半导体ETF行情,ETF-场内,---,---,1.9985,1.9985,---,---,2.0030,---
261,512760,国泰CES半导体芯片ETF行情,ETF-场内,---,---,1.1190,2.2380,---,---,1.1180,---
262,512170,华宝中证医疗ETF行情,ETF-场内,---,---,2.2111,2.2111,---,---,2.1960,---
263,512660,国泰中证军工ETF行情,ETF-场内,---,---,1.0872,1.0872,---,---,1.0750,---
264,512880,国泰中证全指证券公司ETF行情,ETF-场内,---,---,1.2270,1.2270,---,---,1.2350,---
265,513050,易方达中概互联50ETF行情,QDII-ETF,---,---,---,---,---,---,2.1000,---
266,150261,华宝中证医疗指数分级A行情,固定收益,---,---,1.0198,1.3013,---,---,1.0230,---
267,512810,华宝中证军工ETF行情,ETF-场内,---,---,1.0745,1.0745,---,---,1.0620,---
268,150262,华宝中证医疗指数分级B行情,分级杠杆,---,---,1.4870,0.0929,---,---,1.4310,---
